,label,token
24,"[16  1 12 12  0  0 22  5 12  5  7 12 12 12 16 12  0 22  5  3 16 12 12 12
  0 22 16 12 22  5 12  5  7  6 12 12 16 12  0 22  5 16  1 12 12 16 16 12
 12  0 12 22  5]","['در', 'اينجا', 'دو', 'پرسش', 'اساسي', 'مطرح', 'است', ':', '1', '(', 'اگر', 'تكواژ', 'نفي', 'بخشي', 'از', 'گروه', 'فعلي', 'نيست', '،', '\u200cپس', 'بر', 'اساس', 'اصول', 'دستور', 'جهاني', 'نميتواند', 'وارد', 'گروه', 'شود', '،', '2', '(', 'اگر', 'اين', 'عنصر', 'بخشي', 'از', 'گروه', 'فعلي', 'است', '،', 'پس', 'چرا', 'اصل', 'هستهگريزي', 'را', 'در', 'پذيرفتن', 'تكيهي', 'زيروبمي', 'رعايت', 'نميكند', '.']"
25,[16 12 12  6 12  0 12 12  0 22  3 16 18  0 12  3 12 16  0 22  5  0 22  5],"['به', 'نظر', 'نگارنده', 'اين', 'مساله', 'داراي', 'يك', 'توجيه', 'كلامي', 'است', 'كه', 'در', 'آن', 'آخرين', 'عنصري', 'كه', 'ساختي', 'را', 'نشاندار', 'بكند', '،', 'برجسته', 'ميشود', '.']"
26,[ 3 12  0 12 16 12  0  0 22  5  3 12  0 12  0 22  5],"['يعني', 'ساخت', 'منفي', 'نسبت', 'به', 'ساخت', 'مثبت', 'نشاندارتر', 'است', '،', 'لذا', 'عنصر', 'منفيساز', 'تكيهي', 'زيروبمي', 'ميگيرد', '.']"
27,[12  0 22  3 16 12 12  0 16 12 22  3 12 22  5],"['نگارنده', 'اميدوار', 'است', 'كه', 'در', 'آينده', 'بحث', 'بالا', 'را', 'پي', 'بگيرد', 'و', 'تكميل', 'كند', '.']"
28,[ 5 12  0  5 16 12  0 12 12 12 16 12  0 12 16 18 16 16 12 22  5],"['#', 'گروه', 'حرفاضافه', '#', 'به', 'منظور', 'روشن', 'شدن', 'الگوي', 'برجستگي', 'در', 'گروههاي', 'حرفاضافه', 'نمونههايي', 'از', 'آن', 'را', 'در', 'زير', 'ميبينيم', '.']"
29,"[ 6 12  3 16 12 22 12  0 12 12 12  0 16 16 12 22  3 16 12 12 12  5 12  0
 16 12  0 16 12  0  0 12 12 12 22  5]","['همان', 'طوري', 'كه', 'در', 'بالا', 'ميبينيم', 'حرف', 'اضافه', 'نقش', 'هستهي', 'گروه', 'حرفاضافه', 'را', 'به', 'عهده', 'دارد', 'و', 'به', 'موازات', 'گسترش', 'هسته', '،', 'تكيهي', 'زيروبمي', 'در', 'توليد', 'بينشان', 'روي', 'هجاي', 'تكيهبر', 'دورترين', 'وابستهي', 'گروه', 'قرار', 'ميگيرد', '.']"
30,[18 18 12  0 16 12 12 12 16 12 12 12  0 16 12  0 22  5],"['اين', 'خود', 'شاهد', 'ديگري', 'در', 'كارآمدي', 'اصل', 'هستهگريزي', 'در', 'تعيين', 'جايگاه', 'تكيهي', 'زيروبمي', 'در', 'گروههاي', 'نحوي', 'است', '.']"
31,[16 12 12  0  1 12 12 22  3 12  0  3 16  6 12  6 12 12  0 22  5],"['در', 'a', 'حرف', 'اضافه', 'بهتنهايي', 'يك', 'پارهگفتار', 'است', 'كه', 'تكيهي', 'زيروبمي', 'نيز', 'روي', 'تنها', 'عنصر', 'آن', 'پارهگفتار', 'قرار', 'گرفته', 'است', '.']"
32,[12 22 16 12  6 12 22  5],"['a', 'ميتواند', 'در', 'جواب', 'اين', 'پرسش', 'باشد', '.']"
33,"[12 12 12  0 16 12  0 12 22  3 12  0  3 16 12  0 12 12  0 22  5  3 12  0
  1 16 12  0  0 12 22  5]","['قرار', 'گرفتن', 'تكيهي', 'زيروبمي', 'روي', 'حرف', 'اضافه', 'نشان', 'ميدهد', 'كه', 'حروف', 'اضافه', 'نيز', 'در', 'واژگان', 'داراي', 'طرح', 'تكيهي', 'واژگاني', 'هستند', '،', 'زيرا', 'تكيههاي', 'زيروبمي', 'تنها', 'روي', 'هجاهاي', 'تكيهبر', 'واژگاني', 'قرار', 'ميگيرند', '.']"
34,[ 6 12 12  6 12  3 12  0 16 12  0 22 16 16 12 22  5],"['اين', 'مساله', 'نادرستي', 'اين', 'ادعا', 'كه', 'حروف', 'اضافه', 'فاقد', 'تكيهي', 'واژگاني', 'هستند', 'را', 'به', 'اثبات', 'ميرساند', '.']"
35,"[16 12 22  3 12  0  0  3  1 12  0  0 16 12 12  5 16 12  0  5 16 12  0 22
  5]","['در', 'd', 'ميبينيم', 'كه', 'حرف', 'اضافهي', 'مركب', 'نيز', 'همانند', 'حرف', 'اضافهي', 'ساده', 'در', 'صورت', 'گسترش', '،', 'در', 'توليد', 'بينشان', '،', 'فاقد', 'تكيهي', 'زيروبمي', 'است', '.']"
36,"[12  0  1 12 12  0 12 16 18 22  3 16  6 12 12  0 16 22 16 12 12  0 16 12
 12  0 12 22  5]","['حرف', 'اضافه', 'معمولاً', 'يك', 'گروه', 'اسمي', 'بعد', 'از', 'خود', 'دارد', 'و', 'به', 'همين', 'دليل', 'گروه', 'اضافه', 'را', 'ميتوان', 'به', 'صورت', 'حرف', 'اضافه', 'به', 'علاوه', 'گروه', 'اسمي', 'بازنويسي', 'كرد', '.']"
37,[16 12 12  0 16 12 12 12  0  0 22  3 16 12 12  0 12  3 12 12  0 22  5],"['در', 'd', 'گروه', 'اسمي', 'به', 'عنوان', 'وابسته', 'گسترش', 'پيدا', 'كرده', 'است', 'و', 'در', 'درون', 'صورت', 'گسترشيافته', 'وابسته', 'نيز', 'اصل', 'هستهگريزي', 'حاكم', 'است', '.']"
38,[ 5 12  0  5 12  0 12  0  3  3 12 12 16 12  0 18 16 16 12  0 22  5],"['#', 'گروه', 'صفتي', '#', 'گسترش', 'حداكثر', 'گروه', 'صفتي', 'و', 'نيز', 'الگوي', 'برجستگي', 'در', 'توليد', 'بينشان', 'آنها', 'را', 'در', 'مثالهاي', 'زير', 'ميبينيم', '.']"
39,"[ 6 12  3 16 12 22 12  0 12  3  1 12  3 12 16  0 12 18 12 22  3 16  6 12
 12  0  3 16  0 12 12  0 22  5]","['همان', 'طوري', 'كه', 'در', 'بالا', 'ميبينيم', 'تكيهي', 'واژگاني', 'صفتها', 'نيز', 'مانند', 'اسمها', 'و', 'فعلها', 'در', 'آخرين', 'هجاي', 'آنها', 'قرار', 'دارد', 'و', 'به', 'همين', 'دليل', 'تكيهي', 'زيروبمي', 'نيز', 'در', 'آخرين', 'هجاي', 'صفتها', 'ظاهر', 'ميشود', '.']"
40,"[16 12  0 22  3 12 22 12 16 16 12 12  0  5 12  0  5 12  0  5 12  0  3 12
  0  0 22  5]","['در', 'مثالهاي', 'بالا', 'ميبينيم', 'كه', 'صفت', 'ميتواند', 'وابستههايي', 'را', 'به', 'صورت', 'گروه', 'صفتي', '،', 'گروه', 'قيدي', '،', 'گروه', 'حرفاضافه', '،', 'گروه', 'اسمي', 'و', 'جملهي', 'كامل', 'داشته', 'باشد', '.']"
41,[12 12 16  0 12 12  0  3  3 16 12 12 18  3 16 12 22  5],"['اصل', 'هستهگريزي', 'در', 'بيشترين', 'گسترش', 'گروههاي', 'صفتي', 'و', 'حتي', 'در', 'درون', 'وابستههاي', 'آنها', 'نيز', 'به', 'چشم', 'ميخورد', '.']"
42,[16 12 16 12  0 12  0 12  0 16  1  6 12 22 16 12 22  5],"['با', 'توجه', 'به', 'نمونههاي', 'بالا', 'قواعد', 'ساختسازه', 'گروه', 'صفتي', 'را', 'همانند', 'ديگر', 'گروهها', 'ميتوان', 'به', 'دست', 'آورد', '.']"
43,"[ 5 12  0  5 12  0  3 16  0 12 18 16 12 12 12 22  3 16 12  0  6 12  0 22
  5]","['#', 'گروه', 'قيدي', '#', 'گروه', 'قيدي', 'نيز', 'در', 'بيشترين', 'گسترش', 'خود', 'از', 'اصل', 'هستهگريزي', 'پيروي', 'ميكند', 'كه', 'در', 'مثالهاي', 'زير', 'اين', 'مساله', 'روشن', 'ميشود', '.']"
44,"[16 12  0 22  3  0 12 16 12 12  0  0 22  3 16 12  0  3  1 12  0  3 12  0
  7 12 20 12 12  0  3  0 16  0 22 16 12 12 18 12 12  0 12 22  5]","['در', 'نمونههاي', 'بالا', 'ميبينيم', 'كه', 'دورترين', 'وابسته', 'به', 'هسته', 'تكيهي', 'زيروبمي', 'پذيرفته', 'است', 'و', 'در', 'گروههاي', 'قيدي', 'نيز', 'همانند', 'گروه', 'اسمي', 'و', 'گروه', 'فعلي', 'اگر', 'هسته', 'هر', 'دو', 'وابستهي', 'پسين', 'و', 'پيشين', 'را', 'داشته', 'باشد', 'در', 'دو', 'انتهاي', 'آن', 'دو', 'تكيهي', 'زيروبمي', 'قرار', 'ميگيرد', '.']"
45,"[16 12 12  0 16  6 12 12 12 12  0 12 12 12 22  3 12 12  0 16 12  0 18  0
 22  5]","['در', 'پنج', 'بخش', 'پيش', 'در', 'اين', 'فصل', 'الگوي', 'برجستگي', 'گروههاي', 'نحوي', 'مورد', 'بررسي', 'قرار', 'گرفت', 'و', 'جايگاه', 'تكيهي', 'زيروبمي', 'در', 'توليد', 'بينشان', 'آنها', 'مشخص', 'شد', '.']"
46,[12 12 16 12 16 12 12 12  0  0  5 12  0 22  5],"['الگوي', 'برجستگي', 'در', 'جمله', 'به', 'عنوان', 'يك', 'واحد', 'نحوي', 'ديگر', '،', 'بحث', 'جداگانهاي', 'دارد', '.']"
47,[16 12 12  0 12  3 12  5 12 12 12  0  0 22  3 12 18 12 22  5],"['در', 'چارچوب', 'نظريهي', 'نحوي', 'حاكميت', 'و', 'وابستگي', '،', 'جمله', 'يك', 'گروه', 'تصريفي', 'قلمداد', 'ميشود', 'كه', 'هستهي', 'آن', 'تصريف', 'است', '.']"
48,[12 16 12 12  0 12  0 22  5],"['تصريف', 'در', 'قالب', 'گروه', 'فعلي', 'تظاهر', 'پيدا', 'ميكند', '.']"
49,"[ 7 12  0 16 12 12  0 16 12 12  3 12 12 16 20 21 12 16 12 16 12  0 22  5
 16 12  0  3  6 12  0 12 16 12 12 22 22  5]","['اگر', 'جملهاي', 'مركب', 'از', 'يك', 'گروه', 'اسمي', 'به', 'عنوان', 'فاعل', 'و', 'يك', 'فعل', 'بدون', 'هيچ', 'گونه', 'وابستهاي', 'در', 'پارهگفتاري', 'به', 'كار', 'رفته', 'باشد', '،', 'در', 'توليد', 'بينشان', 'يا', 'همان', 'تؤكيد', 'كلي', 'تكيه', 'روي', 'فاعل', 'جمله', 'خواهد', 'بود', '.']"
50,"[ 7 12 12 16  1 16 12  3 12  0 22  3  0 22  3 12 12 12 22  3  3 12 12 16
 16 12 12  0 22  5 16 12 16 12  0 16 12 22  3 12 12 16 12 12  3  0 22  5]","['اگر', 'ساخت', 'جملـه', 'را', 'تنها', 'به', 'فاعل', 'و', 'فعل', 'محدود', 'كنيم', 'و', 'معتقد', 'باشيم', 'كه', 'Infl', 'هستهي', 'جمله', 'است', 'و', 'نيز', 'تظاهر', 'Infl', 'را', 'در', 'قالب', 'گروه', 'فعلي', 'بدانيم', '،', 'با', 'توجه', 'به', 'مثالهاي', 'زير', 'در', 'بالا', 'ميبينيم', 'كه', 'اصل', 'هستهگريزي', 'در', 'ساخت', 'جمله', 'نيز', 'حاكم', 'است', '.']"
51,[ 1 12 12  3 12 12 18  1 16  6 12 22  5],"['البته', 'ساخت', 'جمله', 'و', 'الگوي', 'برجستگي', 'آن', 'همواره', 'به', 'آن', 'سادگي', 'نيست', '.']"
52,"[12 22 12  1  0  0 22  3 16 12  0 20 12 16 12  3 12  0 16 12 12 18 12 22
  5]","['جمله', 'ميتواند', 'ساخت', 'بسيار', 'پيچيدهاي', 'داشته', 'باشد', 'و', 'به', 'لحاظ', 'نظري', 'هيچ', 'محدوديتي', 'براي', 'جمله', 'و', 'گروه', 'آهنگي', 'از', 'نظر', 'گسترش', 'آنها', 'وجود', 'ندارد', '.']"
53,"[16 12 12 12 16 12 12 22 16 18  1 12  0 12  0  0 16 12 22 16 16  6 12 22
 12 12 18 16  0 22  5]","['به', 'دليل', 'عدم', 'محدوديت', 'در', 'گسترش', 'جمله', 'نميتوان', 'براي', 'آن', 'همانند', 'گروههاي', 'نحوي', 'ساخت', 'سازهاي', 'خاصي', 'در', 'نظر', 'گرفت', 'تا', 'از', 'اين', 'رهگذر', 'بتوان', 'الگوي', 'برجستگي', 'آن', 'را', 'مشخص', 'كرد', '.']"
54,"[16 12  6 12  0 22  3 12 12  0 12 22  5  3 18 16 12 12  0 12 18 22  3 16
 12 12  0 12 12 12 16 16 12  3 12  0 12 22  5]","['در', 'مقدمهي', 'اين', 'فصل', 'گفته', 'شد', 'كه', 'كلمهها', 'سازههاي', 'بلافصل', 'جمله', 'نيستند', '،', 'بلكه', 'آنها', 'در', 'قالب', 'سازههاي', 'بزرگتري', 'گرد', 'هم', 'ميآيند', 'و', 'در', 'قالب', 'گروههاي', 'نحوي', 'نقش', 'حلقهي', 'پيوند', 'را', 'بين', 'جمله', 'و', 'سازههاي', 'پاياني', 'ايفا', 'ميكنند', '.']"
55,"[16 12  3 12 12  3 12 12 22  0 22 22  3 16 12  0  5 20 12 16 12  0 12 12
 16 12 12 12 16 12  0 12 22  5  3  6 12  3 16 12 12 12 16 12 22 12 22 18
 22  3  3 12  0  0 12  0 22  3  3 16 12 12 12 16 20 12 16  6 12 12 12  0
 22  5]","['در', 'دادههايي', 'كه', 'مورد', 'تجزيه', 'و', 'تحليل', 'قرار', 'گرفتهاند', 'ديده', 'شده', 'است', 'كه', 'در', 'جملات', 'پيچيده', '،', 'هر', 'كدام', 'از', 'گروههاي', 'نحوي', 'تشكيلدهنده', 'جمله', 'با', 'رعايت', 'اصل', 'هستهگريزي', 'در', 'توليد', 'بينشان', 'تكيه', 'گرفتهاند', '؛', 'لذا', 'تنها', 'كاري', 'كه', 'در', 'ارااهي', 'الگوي', 'برجستگي', 'براي', 'جمله', 'ميتوان', 'انجام', 'داد', 'اين', 'است', 'كه', 'ابتدا', 'گروههاي', 'نحوي', 'سازندهي', 'جمله', 'مشخص', 'شوند', 'و', 'سپس', 'با', 'رعايت', 'اصل', 'هستهگريزي', 'به', 'هر', 'كدام', 'از', 'آن', 'گروهها', 'تكيهاي', 'اختصاص', 'داده', 'شود', '.']"
56,"[16 12 16 12 12 12 16 22  3 16 12 12  0 12  5 12 12  0 22  3 12 18 16 12
 12 12 12  3 12 12 16 12 12  0 16 12 12  0 22  5]","['در', 'a', 'در', 'بالا', 'گروه', 'آهنگي', 'را', 'ميبينيم', 'كه', 'از', 'دو', 'گروه', 'نحوي', 'NP', ',', 'VP', 'تشكيل', 'شده', 'است', 'و', 'تكيهپذيري', 'آنها', 'بر', 'اساس', 'پيشبيني', 'نظريهي', 'تحقيق', 'و', 'اصل', 'هستهگريزي', 'به', 'عنوان', 'اصل', 'زبان-', 'در', 'فارسي', 'صورت', 'گرفته', 'است', '.']"
57,"[16 12 12  0 16 12 12  0 12  0 22  3 12 12 12 16 12 22  3 16 12 18 12 12
 12  0 22  5]","['در', 'b', 'گروه', 'آهنگي', 'از', 'چهار', 'گروه', 'نحوي', 'تشكيل', 'شده', 'است', 'كه', 'نقش', 'هستهي', 'گروه', 'را', 'بازي', 'ميكنند', 'و', 'در', 'تكيهپذيري', 'آنها', 'اصل', 'هستهگريزي', 'رعايت', 'شده', 'است', '.']"
58,[12 12  5 12 12 12 12  0 16 12 22  5],"['شكل', '4', '-', '4', 'الگوي', 'برجستگي', 'گروه', 'آهنگي', 'را', 'نشان', 'ميدهد', '.']"
59,"[16 12 12  5 12 12 12  0 16 12  0  0 22  3 20 12 16  6 12 12 12 12  0 22
  5]","['در', 'شكل', '4', '-', '4', 'چهار', 'تغيير', 'معنادار', 'در', 'منحني', 'زيروبمي', 'ديده', 'ميشود', 'كه', 'هر', 'كدام', 'از', 'اين', 'تغييرات', 'نمايندهي', 'جايگاه', 'تكيهي', 'زيروبمي', 'هستند', '.']"
60,"[ 0 12  0 16 12 12  0 12 16 12 12 16 18 12  0 22  3 16  6 12 12  0 16 18
 16 12  0  1  0 22  5]","['آخرين', 'تكيهي', 'زيروبمي', 'در', 'يك', 'گام', 'پايينتر', 'نسبت', 'به', 'تكيهي', 'قبل', 'از', 'خود', 'توليد', 'شده', 'است', 'و', 'به', 'همين', 'دليل', 'تغيير', 'مربوط', 'به', 'آن', 'در', 'منحني', 'زيروبمي', 'زياد', 'محسوس', 'نيست', '.']"
61,"[ 1 22 16 12  0  0  0 16 12 12  0 16 12 22  3 16 12 12  3  6 12  0 22  3
  3 12 12 12 12  0  0 12 12  0  0 22  3 16 12  6 12  3 12 22  5  3 16 12
 12 12  0  0  0 22  5]","['اصولاً', 'نبايد', 'براي', 'يك', 'واحد', 'واژگاني', 'بيش', 'از', 'يك', 'صورت', 'واژگاني', 'در', 'نظر', 'گرفت', 'و', 'در', 'مورد', 'فعل', 'نيز', 'اين', 'حكم', 'صادق', 'است', 'ولي', 'ازآنجاايكه', 'اثبات', 'اصل', 'بودن', 'بن', 'ماضي', 'نيازمند', 'ارااه', 'قواعد', 'واجي', 'زيادي', 'است', 'و', 'به', 'هدف', 'اين', 'نوشته', 'نيز', 'ارتباط', 'ندارد', '،', 'لذا', 'براي', 'فعل', 'دو', 'صورت', 'واژگاني', 'جداگانه', 'قاال', 'ميشويم', '.']"
62,[12  0 16 12 22  5],"['مثالهاي', 'بيشتر', 'از', 'غلامعليزاده', 'است', '.']"
